"Method","Name","Error","Occurrences"
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Candle&date_from=2015-02-02&date_to=2020-02-20","('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",18
"GET","/movers.html","HTTPConnectionPool(host='127.0.0.1', port=7000): Max retries exceeded with url: /movers.html (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f2e8c9a74d0>: Failed to establish a new connection: [Errno 111] Connection refused'))",15
"GET","/analysis.html","HTTPConnectionPool(host='127.0.0.1', port=7000): Max retries exceeded with url: /analysis.html (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f2e8d324e10>: Failed to establish a new connection: [Errno 111] Connection refused'))",7
"GET","/","HTTPConnectionPool(host='127.0.0.1', port=7000): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f2e8ca10550>: Failed to establish a new connection: [Errno 111] Connection refused'))",45
"GET","/measure.html","HTTPConnectionPool(host='127.0.0.1', port=7000): Max retries exceeded with url: /measure.html (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f2e8c9a73d0>: Failed to establish a new connection: [Errno 111] Connection refused'))",28
"POST","/","500 Server Error: Internal Server Error for url: http://127.0.0.1:7000/",1
"GET","/compare.html","HTTPConnectionPool(host='127.0.0.1', port=7000): Max retries exceeded with url: /compare.html (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f2e8d38abd0>: Failed to establish a new connection: [Errno 111] Connection refused'))",18
"GET","/","500 Server Error: Internal Server Error for url: http://127.0.0.1:7000/",1
"GET","/","('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",2
"GET","/compare.html","('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",1
"GET","/","('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))",4
"GET","/prediction.html","HTTPConnectionPool(host='127.0.0.1', port=7000): Max retries exceeded with url: /prediction.html (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f2e8d38a050>: Failed to establish a new connection: [Errno 111] Connection refused'))",8
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Line&date_from=2015-02-02&date_to=2020-02-20","('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",19
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Table&date_from=2015-02-02&date_to=2020-02-20","('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",7
"POST","/analysisResult.html?stock=Apple&type=Line&date_from=2015-11-03&date_to=2020-02-20","('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",3
"POST","/predictionResult.html","('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",27
"POST","/analysisResult.html?stock=Apple&type=Candle&date_from=2015-11-03&date_to=2020-02-20","('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",12
"POST","/moversResult.html","('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",51
"POST","/analysisResult.html?stock=Apple&type=Table&date_from=2015-11-03&date_to=2020-02-20","('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",3
"POST","/","('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",2
"POST","/measureResults.html","('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",61