"Type","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s","Requests Failed/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999","100%"
"GET","/",8,0,12,14,3,22,3079,0.02,0.00,17,19,20,20,22,22,22,22,22,22,22,22
"POST","/",8,0,210,220,193,275,2524,0.02,0.00,230,230,230,230,280,280,280,280,280,280,280,280
"GET","/analysis.html",2,0,13,15,13,16,52059,0.00,0.00,16,16,16,16,16,16,16,16,16,16,16,16
"POST","/analysisResult.html?stock=Apple&type=Candle&date_from=2015-11-03&date_to=2020-02-20",2,0,3000,6391,2979,9803,6914762,0.00,0.00,9800,9800,9800,9800,9800,9800,9800,9800,9800,9800,9800,9800
"GET","/compare.html",1,0,30,30,30,30,108023,0.00,0.00,30,30,30,30,30,30,30,30,30,30,30,30
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Line&date_from=2015-02-02&date_to=2020-02-20",1,0,6540,6540,6540,6540,14042800,0.00,0.00,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500
"GET","/measure.html",1,0,19,19,19,19,46273,0.00,0.00,19,19,19,19,19,19,19,19,19,19,19,19
"POST","/measureResults.html",1,0,2882,2882,2882,2882,133331,0.00,0.00,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900
"GET","/movers.html",4,0,48,49,47,52,3745,0.01,0.00,51,51,52,52,52,52,52,52,52,52,52,52
"POST","/moversResult.html",4,0,16000,16000,15363,16632,16046,0.01,0.00,16000,16000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000
"GET","/prediction.html",2,0,9,14,9,18,40373,0.00,0.00,18,18,18,18,18,18,18,18,18,18,18,18
"POST","/predictionResult.html",2,0,23000,23896,22863,24929,315874,0.00,0.00,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000
"None","Aggregated",36,0,52,3782,3,24929,808348,0.07,0.00,190,230,3000,6500,16000,23000,25000,25000,25000,25000,25000,25000